"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"359",15,"Joe Milton III",DAL,"QB40","14","-","-","2 out of 5 stars","+31"
"360",15,"Jawhar Jordan",HOU,"RB104","8","-","-","4 out of 5 stars","+199"
"361",15,"Tyler Bass",BUF,"K20","7","-","-","2 out of 5 stars","-115"
"362",15,"Ja'Tavion Sanders",CAR,"TE49","5","-","-","2 out of 5 stars","-28"
"363",15,"Chris Brazzell II",CAR,"WR128","5","-","-","2 out of 5 stars","+259"
"364",15,"Charlie Kolar",LAC,"TE50","7","-","-","4 out of 5 stars","+109"
"365",15,"Bryce Lance",NO,"WR129","8","-","-","3 out of 5 stars","+75"
"366",15,"Austin Ekeler",FA,"RB105","-","-","-","-","+240"
"367",15,"Eli Raridon",NE,"TE51","11","-","-","4 out of 5 stars","-19"
"368",15,"CJ Daniels",LAR,"WR130","11","-","-","1 out of 5 stars","+115"
"369",15,"Justin Fields",KC,"QB41","5","-","-","2 out of 5 stars","-55"
"370",15,"Savion Williams",GB,"WR131","11","-","-","5 out of 5 stars","+251"
"371",15,"Max Klare",LAR,"TE52","11","-","-","4 out of 5 stars","-8"
"372",15,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-51"
"373",15,"Justin Joly",DEN,"TE53","10","-","-","4 out of 5 stars","+86"
"374",15,"Treylon Burks",WAS,"WR132","7","-","-","2 out of 5 stars","+222"
"375",15,"Dawson Knox",BUF,"TE54","7","-","-","3 out of 5 stars","-64"
"376",15,"Mitchell Evans",CAR,"TE55","5","-","-","2 out of 5 stars","-"
"377",15,"Ty Simpson",LAR,"QB43","11","-","-","3 out of 5 stars","-103"
"378",15,"Luke Musgrave",GB,"TE56","11","-","-","2 out of 5 stars","+15"
"379",15,"Ben Sinnott",WAS,"TE57","7","-","-","1 out of 5 stars","+250"
"380",15,"Jackson Hawes",BUF,"TE58","7","-","-","3 out of 5 stars","+49"
